mbti,work_pct,chat_pct,rest_pct,move_pct,meeting_pct,expected_work_pct,expected_chat_pct,expected_rest_pct,expected_move_pct,expected_meeting_pct,consistency_score
ESTJ,33.9,23.2,10.6,24.4,7.9,34.4828,24.1379,10.3448,24.1379,6.8966,0.984793
ESTP,25.2,23.7,14.3,30.6,6.2,26.6667,23.3333,13.3333,30.0,6.6667,0.980667
ESFJ,28.4,30.3,9.4,23.4,8.5,27.5862,31.0345,10.3448,24.1379,6.8966,0.975828
ESFP,20.4,28.5,13.8,31.7,5.6,20.0,30.0,13.3333,30.0,6.6667,0.974333
ENTJ,35.4,24.7,11.1,22.6,6.2,34.4828,24.1379,10.3448,24.1379,6.8966,0.977655
ENTP,25.1,25.0,12.2,30.8,6.9,26.6667,23.3333,13.3333,30.0,6.6667,0.973
ENFJ,27.0,29.6,11.8,24.7,6.9,27.5862,31.0345,10.3448,24.1379,6.8966,0.979793
ENFP,20.0,32.2,12.6,28.9,6.3,20.0,30.0,13.3333,30.0,6.6667,0.978
ISTJ,46.0,14.6,12.4,18.7,8.3,48.1481,14.8148,11.1111,18.5185,7.4074,0.97637
ISTP,40.7,14.4,13.6,24.4,6.9,39.2857,14.2857,14.2857,25.0,7.1429,0.984714
ISFJ,41.3,22.1,11.0,19.2,6.4,40.7407,22.2222,11.1111,18.5185,7.4074,0.987593
ISFP,31.6,23.3,13.9,23.9,7.3,32.1429,21.4286,14.2857,25.0,7.1429,0.979714
INTJ,46.3,15.5,10.6,18.8,8.8,48.1481,14.8148,11.1111,18.5185,7.4074,0.976407
INTP,40.5,13.9,14.2,24.4,7.0,39.2857,14.2857,14.2857,25.0,7.1429,0.987857
INFJ,40.4,21.9,10.2,19.9,7.6,40.7407,22.2222,11.1111,18.5185,7.4074,0.984259
INFP,31.1,21.0,15.2,26.2,6.5,32.1429,21.4286,14.2857,25.0,7.1429,0.978857
__summary__,,,,,,,,,,,0.97999
